sample,edit,direction,score_orig,score_edit,delta
45,+helpfulness,prism_meandiff,1.9717,5.3825,3.4108
45,+helpfulness,true_head,-6.2926,-1.0709,5.2217
45,+formatting,prism_meandiff,1.9717,-1.4174,-3.3891
45,+formatting,true_head,-6.2926,-7.9742,-1.6816
45,-sycophancy,prism_meandiff,1.9717,0.2993,-1.6724
45,-sycophancy,true_head,-6.2926,-8.1144,-1.8218
45,+length_ctrl,prism_meandiff,1.9717,2.3394,0.3677
45,+length_ctrl,true_head,-6.2926,-6.4867,-0.1941
46,+factuality,prism_meandiff,7.6782,4.781,-2.8972
46,+factuality,true_head,2.5451,-3.767,-6.3121
46,+helpfulness,prism_meandiff,7.6782,9.3669,1.6887
46,+helpfulness,true_head,2.5451,7.2404,4.6953
46,+formatting,prism_meandiff,7.6782,3.9509,-3.7273
46,+formatting,true_head,2.5451,0.8061,-1.739
46,-sycophancy,prism_meandiff,7.6782,5.4874,-2.1908
46,-sycophancy,true_head,2.5451,0.0197,-2.5254
46,+length_ctrl,prism_meandiff,7.6782,7.5814,-0.0968
46,+length_ctrl,true_head,2.5451,3.3579,0.8129
47,+factuality,prism_meandiff,3.9088,3.9537,0.045
47,+factuality,true_head,-4.7738,-5.6244,-0.8506
47,+helpfulness,prism_meandiff,3.9088,1.7778,-2.1309
47,+helpfulness,true_head,-4.7738,-7.2631,-2.4893
47,+formatting,prism_meandiff,3.9088,2.2079,-1.7009
47,+formatting,true_head,-4.7738,-5.3494,-0.5757
47,-sycophancy,prism_meandiff,3.9088,2.8864,-1.0224
47,-sycophancy,true_head,-4.7738,-5.5538,-0.78
47,+length_ctrl,prism_meandiff,3.9088,4.7099,0.8011
47,+length_ctrl,true_head,-4.7738,-3.3688,1.405
48,+factuality,prism_meandiff,1.4892,4.8041,3.3149
48,+factuality,true_head,-13.4708,-9.1426,4.3281
48,+helpfulness,prism_meandiff,1.4892,7.9916,6.5024
48,+helpfulness,true_head,-13.4708,-1.9234,11.5474
48,+formatting,prism_meandiff,1.4892,-3.0627,-4.5519
48,+formatting,true_head,-13.4708,-13.8624,-0.3916
48,-sycophancy,prism_meandiff,1.4892,3.6198,2.1306
48,-sycophancy,true_head,-13.4708,-8.9674,4.5033
48,+length_ctrl,prism_meandiff,1.4892,1.201,-0.2882
48,+length_ctrl,true_head,-13.4708,-12.5911,0.8797
49,+factuality,prism_meandiff,6.7102,6.9404,0.2303
49,+factuality,true_head,-4.4424,-4.5302,-0.0878
49,+helpfulness,prism_meandiff,6.7102,5.5571,-1.153
49,+helpfulness,true_head,-4.4424,-2.9177,1.5248
49,+formatting,prism_meandiff,6.7102,0.3206,-6.3896
49,+formatting,true_head,-4.4424,-8.4293,-3.9869
49,-sycophancy,prism_meandiff,6.7102,2.0752,-4.635
49,-sycophancy,true_head,-4.4424,-9.4171,-4.9747
49,+length_ctrl,prism_meandiff,6.7102,6.6693,-0.0408
49,+length_ctrl,true_head,-4.4424,-2.912,1.5304
50,+factuality,prism_meandiff,4.4854,6.5946,2.1092
50,+factuality,true_head,-9.1398,-3.9225,5.2173
50,+helpfulness,prism_meandiff,4.4854,6.4242,1.9388
50,+helpfulness,true_head,-9.1398,-5.5724,3.5674
50,+formatting,prism_meandiff,4.4854,0.0627,-4.4227
50,+formatting,true_head,-9.1398,-10.0496,-0.9097
50,-sycophancy,prism_meandiff,4.4854,0.4106,-4.0748
50,-sycophancy,true_head,-9.1398,-13.4287,-4.2889
50,+length_ctrl,prism_meandiff,4.4854,3.2244,-1.2609
50,+length_ctrl,true_head,-9.1398,-10.194,-1.0541
51,+factuality,prism_meandiff,2.8516,2.532,-0.3196
51,+factuality,true_head,-5.4382,-5.7353,-0.2971
51,+helpfulness,prism_meandiff,2.8516,3.0388,0.1873
51,+helpfulness,true_head,-5.4382,-4.2239,1.2144
51,+formatting,prism_meandiff,2.8516,-0.2891,-3.1407
51,+formatting,true_head,-5.4382,-7.5957,-2.1575
51,-sycophancy,prism_meandiff,2.8516,-0.1271,-2.9787
51,-sycophancy,true_head,-5.4382,-10.5733,-5.1351
51,+length_ctrl,prism_meandiff,2.8516,3.3437,0.4922
51,+length_ctrl,true_head,-5.4382,-4.7786,0.6597
52,+factuality,prism_meandiff,6.1968,6.1444,-0.0525
52,+factuality,true_head,-2.4694,-2.7281,-0.2587
52,+helpfulness,prism_meandiff,6.1968,7.0399,0.8431
52,+helpfulness,true_head,-2.4694,2.0309,4.5003
52,+formatting,prism_meandiff,6.1968,0.8712,-5.3256
52,+formatting,true_head,-2.4694,-3.6981,-1.2287
52,-sycophancy,prism_meandiff,6.1968,2.2419,-3.9549
52,-sycophancy,true_head,-2.4694,-8.8037,-6.3343
52,+length_ctrl,prism_meandiff,6.1968,8.2428,2.0459
52,+length_ctrl,true_head,-2.4694,2.005,4.4744
53,+factuality,prism_meandiff,7.2991,9.8585,2.5593
53,+factuality,true_head,-11.3461,-7.3693,3.9768
53,+helpfulness,prism_meandiff,7.2991,10.5272,3.228
53,+helpfulness,true_head,-11.3461,-5.0124,6.3337
53,+formatting,prism_meandiff,7.2991,-1.0189,-8.3181
53,+formatting,true_head,-11.3461,-16.9211,-5.575
53,-sycophancy,prism_meandiff,7.2991,-3.8474,-11.1465
53,-sycophancy,true_head,-11.3461,-25.5474,-14.2013
53,+length_ctrl,prism_meandiff,7.2991,3.2589,-4.0403
53,+length_ctrl,true_head,-11.3461,-16.6152,-5.2691
54,+factuality,prism_meandiff,9.8839,8.058,-1.8259
54,+factuality,true_head,-2.9045,-4.4382,-1.5337
54,+helpfulness,prism_meandiff,9.8839,8.9635,-0.9204
54,+helpfulness,true_head,-2.9045,-3.8434,-0.9389
54,+formatting,prism_meandiff,9.8839,0.3859,-9.498
54,+formatting,true_head,-2.9045,-9.812,-6.9075
54,-sycophancy,prism_meandiff,9.8839,-8.3135,-18.1974
54,-sycophancy,true_head,-2.9045,-34.1848,-31.2803
54,+length_ctrl,prism_meandiff,9.8839,5.8002,-4.0837
54,+length_ctrl,true_head,-2.9045,-7.8034,-4.8989
55,+factuality,prism_meandiff,12.2576,11.3798,-0.8778
55,+factuality,true_head,3.2169,1.7287,-1.4882
55,+helpfulness,prism_meandiff,12.2576,13.1666,0.909
55,+helpfulness,true_head,3.2169,3.221,0.0041
55,+formatting,prism_meandiff,12.2576,5.8915,-6.3661
55,+formatting,true_head,3.2169,-2.2594,-5.4764
55,-sycophancy,prism_meandiff,12.2576,-5.1312,-17.3889
55,-sycophancy,true_head,3.2169,-29.9275,-33.1444
55,+length_ctrl,prism_meandiff,12.2576,8.227,-4.0307
55,+length_ctrl,true_head,3.2169,-2.3353,-5.5522
56,+factuality,prism_meandiff,-8.3245,-6.4564,1.8682
56,+factuality,true_head,-26.2133,-23.458,2.7553
56,+helpfulness,prism_meandiff,-8.3245,-5.1801,3.1445
56,+helpfulness,true_head,-26.2133,-21.3466,4.8667
56,+formatting,prism_meandiff,-8.3245,-12.5555,-4.2309
56,+formatting,true_head,-26.2133,-28.5759,-2.3626
56,-sycophancy,prism_meandiff,-8.3245,-12.5898,-4.2652
56,-sycophancy,true_head,-26.2133,-35.9468,-9.7335
56,+length_ctrl,prism_meandiff,-8.3245,-7.5217,0.8029
56,+length_ctrl,true_head,-26.2133,-25.0419,1.1714
57,+factuality,prism_meandiff,3.3589,2.6192,-0.7397
57,+factuality,true_head,-13.0417,-13.3005,-0.2587
57,+helpfulness,prism_meandiff,3.3589,2.1882,-1.1707
57,+helpfulness,true_head,-13.0417,-13.1831,-0.1414
57,+formatting,prism_meandiff,3.3589,0.5114,-2.8475
57,+formatting,true_head,-13.0417,-14.0613,-1.0196
57,-sycophancy,prism_meandiff,3.3589,-2.5774,-5.9362
57,-sycophancy,true_head,-13.0417,-23.4889,-10.4471
57,+length_ctrl,prism_meandiff,3.3589,4.015,0.6561
57,+length_ctrl,true_head,-13.0417,-10.8795,2.1622
58,+factuality,prism_meandiff,-1.9498,-1.9498,0.0
58,+factuality,true_head,-17.7685,-17.7685,0.0
58,+helpfulness,prism_meandiff,-1.9498,0.4294,2.3792
58,+helpfulness,true_head,-17.7685,-14.8532,2.9153
58,+formatting,prism_meandiff,-1.9498,-6.5475,-4.5977
58,+formatting,true_head,-17.7685,-19.8518,-2.0833
58,-sycophancy,prism_meandiff,-1.9498,-8.3168,-6.367
58,-sycophancy,true_head,-17.7685,-27.7215,-9.953
58,+length_ctrl,prism_meandiff,-1.9498,-0.973,0.9768
58,+length_ctrl,true_head,-17.7685,-16.4224,1.3461
59,+factuality,prism_meandiff,5.4753,5.3202,-0.1551
59,+factuality,true_head,-5.9884,-5.585,0.4034
59,+helpfulness,prism_meandiff,5.4753,5.9954,0.5201
59,+helpfulness,true_head,-5.9884,-3.9999,1.9885
59,+formatting,prism_meandiff,5.4753,3.2012,-2.2741
59,+formatting,true_head,-5.9884,-5.4404,0.548
59,-sycophancy,prism_meandiff,5.4753,0.7857,-4.6897
59,-sycophancy,true_head,-5.9884,-12.3117,-6.3233
59,+length_ctrl,prism_meandiff,5.4753,5.9423,0.467
59,+length_ctrl,true_head,-5.9884,-3.707,2.2814
